Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.9991012582384662,0.84375,0.5684210526315789,0.6792452830188679,0.9572601960851715,0.6900319869475428
Decision Tree,0.999048391076023,0.7204301075268817,0.7052631578947368,0.7127659574468085,0.8524021037395169,0.508586239526323
Random Forest,0.9995065731505305,0.971830985915493,0.7263157894736842,0.8313253012048193,0.9239484786351149,0.7875758110273144
XGBoost,0.9992422373383146,0.8170731707317073,0.7052631578947368,0.7570621468926554,0.8474525929304914,0.6648548834806339
