Threshold,Precision,Recall,F1 Score,False Positives,False Negatives
0.1,0.34934497816593885,0.8421052631578947,0.49382716049382713,149,15
0.15000000000000002,0.5895522388059702,0.8315789473684211,0.6899563318777293,55,16
0.20000000000000004,0.7090909090909091,0.8210526315789474,0.7609756097560976,32,17
0.25000000000000006,0.7623762376237624,0.8105263157894737,0.7857142857142857,24,18
0.30000000000000004,0.8105263157894737,0.8105263157894737,0.8105263157894737,18,18
0.3500000000000001,0.8539325842696629,0.8,0.8260869565217391,13,19
0.40000000000000013,0.8928571428571429,0.7894736842105263,0.8379888268156425,9,20
0.45000000000000007,0.9024390243902439,0.7789473684210526,0.8361581920903954,8,21
0.5000000000000001,0.9135802469135802,0.7789473684210526,0.8409090909090909,7,21
0.5500000000000002,0.9113924050632911,0.7578947368421053,0.8275862068965517,7,23
0.6000000000000002,0.9726027397260274,0.7473684210526316,0.8452380952380952,2,24
0.6500000000000001,0.9722222222222222,0.7368421052631579,0.8383233532934131,2,25
0.7000000000000002,0.9714285714285714,0.7157894736842105,0.8242424242424242,2,27
0.7500000000000002,0.9850746268656716,0.6947368421052632,0.8148148148148148,1,29
0.8000000000000002,0.984375,0.6631578947368421,0.7924528301886793,1,32
0.8500000000000002,0.9833333333333333,0.6210526315789474,0.7612903225806451,1,36
0.9000000000000002,0.9821428571428571,0.5789473684210527,0.7284768211920529,1,40
