Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Baseline Random Forest,0.9995065731505304,0.971830985915493,0.7263157894736842,0.8313253012048193,0.9239484786351148,0.7875758110273144
Random Forest + Random Oversampling,0.9994889507630493,0.9583333333333334,0.7263157894736842,0.8263473053892215,0.9291586807126553,0.8022612209382383
Random Forest + SMOTE,0.9995065731505305,0.9135802469135802,0.7789473684210526,0.8409090909090909,0.9590755586606452,0.8077585222082163
